id,day_order_num,p0,p1,p2,json,timestamp,date
141,3,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T09:58:29.721Z""}",11:58:29.734870,19.08.2023
142,4,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T09:59:52.317Z""}",11:59:52.324593,19.08.2023
143,5,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T10:06:37.754Z""}",12:06:37.761537,19.08.2023
144,6,1,1,1,"{""0"":1,""1"":1,""2"":1,""timestamp"":""2023-08-19T10:07:05.644Z""}",12:07:05.650940,19.08.2023
145,7,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-19T10:28:45.245Z""}",12:28:45.260264,19.08.2023
146,8,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T10:46:55.523Z""}",12:46:55.531259,19.08.2023
147,9,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T10:51:46.755Z""}",12:51:46.762176,19.08.2023
148,10,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:01:49.787Z""}",13:01:49.794912,19.08.2023
149,11,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:14:29.015Z""}",13:14:29.026482,19.08.2023
150,12,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:15:09.471Z""}",13:15:09.478261,19.08.2023
151,13,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T11:15:22.355Z""}",13:15:22.361869,19.08.2023
152,14,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:26:40.423Z""}",13:26:40.430524,19.08.2023
153,15,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T11:26:53.260Z""}",13:26:53.266723,19.08.2023
154,16,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:44:51.699Z""}",13:44:51.706866,19.08.2023
155,17,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:50:09.455Z""}",13:50:09.462494,19.08.2023
156,18,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T11:50:49.423Z""}",13:50:49.436953,19.08.2023
157,19,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T11:52:56.655Z""}",13:52:56.662560,19.08.2023
158,20,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T12:09:22.263Z""}",14:09:22.270036,19.08.2023
159,21,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T13:12:54.503Z""}",15:12:54.515348,19.08.2023
160,22,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T13:20:28.506Z""}",15:20:28.517837,19.08.2023
161,23,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T13:44:38.236Z""}",15:44:38.243401,19.08.2023
162,24,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T14:30:01.899Z""}",16:30:01.905350,19.08.2023
163,25,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T14:30:42.395Z""}",16:30:42.402948,19.08.2023
164,26,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T14:49:10.064Z""}",16:49:10.073360,19.08.2023
165,27,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T14:52:04.891Z""}",16:52:04.899207,19.08.2023
166,28,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T14:52:14.187Z""}",16:52:14.194465,19.08.2023
167,29,0,2,0,"{""0"":0,""1"":2,""2"":0,""timestamp"":""2023-08-19T15:31:31.871Z""}",17:31:31.878903,19.08.2023
168,30,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T15:58:37.691Z""}",17:58:37.698909,19.08.2023
169,31,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-19T16:09:08.915Z""}",18:09:08.927132,19.08.2023
170,32,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T16:11:20.115Z""}",18:11:20.122271,19.08.2023
171,33,0,0,2,"{""0"":0,""1"":0,""2"":2,""timestamp"":""2023-08-19T16:12:01.455Z""}",18:12:01.461728,19.08.2023
172,34,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T16:20:00.487Z""}",18:20:00.493673,19.08.2023
173,35,0,1,0,"{""0"":0,""1"":1,""2"":0,""timestamp"":""2023-08-19T16:28:38.696Z""}",18:28:38.703185,19.08.2023
174,36,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T16:31:07.523Z""}",18:31:07.530209,19.08.2023
175,37,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T16:37:49.223Z""}",18:37:49.230472,19.08.2023
176,38,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T16:55:13.667Z""}",18:55:13.673808,19.08.2023
177,39,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T17:06:24.187Z""}",19:06:24.194614,19.08.2023
178,40,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T17:08:03.960Z""}",19:08:03.966600,19.08.2023
179,41,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T17:16:11.606Z""}",19:16:11.616665,19.08.2023
180,42,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:16:51.347Z""}",19:16:51.353428,19.08.2023
181,43,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:21:41.279Z""}",19:21:41.286820,19.08.2023
182,44,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:28:04.495Z""}",19:28:04.503591,19.08.2023
183,45,1,1,1,"{""0"":1,""1"":1,""2"":1,""timestamp"":""2023-08-19T17:42:35.523Z""}",19:42:35.530387,19.08.2023
184,46,1,0,1,"{""0"":1,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:45:54.447Z""}",19:45:54.459004,19.08.2023
185,47,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:54:32.227Z""}",19:54:32.234171,19.08.2023
186,48,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T17:56:07.263Z""}",19:56:07.269988,19.08.2023
187,49,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:57:11.019Z""}",19:57:11.027354,19.08.2023
188,50,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T17:59:17.968Z""}",19:59:17.975163,19.08.2023
189,51,2,0,0,"{""0"":2,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:03:53.159Z""}",20:03:53.166319,19.08.2023
190,52,1,1,0,"{""0"":1,""1"":1,""2"":0,""timestamp"":""2023-08-19T18:04:18.535Z""}",20:04:18.542264,19.08.2023
191,53,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:05:34.812Z""}",20:05:34.819771,19.08.2023
192,54,0,0,1,"{""0"":0,""1"":0,""2"":1,""timestamp"":""2023-08-19T18:06:39.240Z""}",20:06:39.246508,19.08.2023
193,55,1,0,0,"{""0"":1,""1"":0,""2"":0,""timestamp"":""2023-08-19T18:10:05.295Z""}",20:10:05.301827,19.08.2023
